### TABLE 00a4e7b8 n=114
00a52c84 adsbuttonpressed                             fn=00436940 dev=0
00a52c90 throwbuttonpressed                           fn=00466b20 dev=0
00a52c9c meleebuttonpressed                           fn=00495590 dev=0
00a52ca8 jumpbuttonpressed                            fn=005a0d80 dev=0
00a52cb4 buttonpressed                                fn=005d0640 dev=0
00a52cc0 actionslottwobuttonpressed                   fn=005ac9b0 dev=0
00a52ccc sprintbuttonpressed                          fn=00571420 dev=0
00a52cd8 gasbuttonpressed                             fn=005edb50 dev=0
00a52ce4 reloadbuttonpressed                          fn=00487ad0 dev=0
00a52cf0 notifyoncommand                              fn=007d6ee0 dev=0
00a52cfc playerads                                    fn=005ab360 dev=0
00a52d08 setviewmodel                                 fn=007d6ef0 dev=0
00a52d14 showviewmodel                                fn=007d6f90 dev=0
00a52d20 hideviewmodel                                fn=007d6ff0 dev=0
00a52d2c allowstand                                   fn=00521050 dev=0
00a52d38 allowcrouch                                  fn=00501ae0 dev=0
00a52d44 allowprone                                   fn=006121a0 dev=0
00a52d50 allowlean                                    fn=00599ae0 dev=0
00a52d5c getvehicleoccupied                           fn=00651a30 dev=0
00a52d68 isinvehicle                                  fn=007d7380 dev=0
00a52d74 openmenu                                     fn=007d70b0 dev=0
00a52d80 openmainmenu                                 fn=007d7160 dev=0
00a52d8c openmenunomouse                              fn=007d7400 dev=0
00a52d98 closemenu                                    fn=007d74b0 dev=0
00a52da4 closemainmenu                                fn=007d7510 dev=0
00a52db0 closeingamemenu                              fn=007d75d0 dev=0
00a52dbc initdec20terminal                            fn=007d7630 dev=0
00a52dc8 attachtodec20terminal                        fn=007d7690 dev=0
00a52dd4 detachdec20terminal                          fn=007d7700 dev=0
00a52de0 freezecontrols                               fn=007d7770 dev=0
00a52dec freezecontrolsallowlook                      fn=007d77f0 dev=0
00a52df8 disableusability                             fn=007d7870 dev=0
00a52e04 enableusability                              fn=007d78e0 dev=0
00a52e10 setreverb                                    fn=00651a30 dev=0
00a52e1c deactivatereverb                             fn=00651a30 dev=0
00a52e28 setchannelvolumes                            fn=00651a30 dev=0
00a52e34 deactivatechannelvolumes                     fn=00651a30 dev=0
